ID,HCD.1,HCD.2,HCD.3,HCD.BSA.1,HCD.BSA.2,HCD.BSA.3,SD.1,SD.2,SD.3,SD.BSA.1,SD.BSA.2,SD.BSA.3
Acidobacterium sp. 4Y35,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acidovorax avenae,1.0,0.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,0.0,4.0,4.0
Acidovorax carolinensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Acidovorax cattleyae,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acidovorax citrulli,7.0,2.0,1.0,0.0,2.0,2.0,2.0,4.0,1.0,2.0,0.0,6.0
Acidovorax monticola,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
Acidovorax sp. 16-35-5,2.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,4.0,2.0,3.0,2.0
Acidovorax sp. 1608163,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0
Acidovorax sp. HDW3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Acidovorax sp. JMULE5,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0
Acidovorax sp. KKS102,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Acidovorax sp. RAC01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Acinetobacter baumannii,20.0,33.0,33.0,20.0,30.0,24.0,28.0,19.0,26.0,20.0,35.0,21.0
Acinetobacter baylyi,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Acinetobacter bereziniae,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0
Acinetobacter calcoaceticus,1.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0
Acinetobacter chinensis,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Acinetobacter cumulans,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Acinetobacter defluvii,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acinetobacter dispersus,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Acinetobacter equi,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Acinetobacter guillouiae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0
Acinetobacter gyllenbergii,2.0,2.0,0.0,0.0,1.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0
Acinetobacter haemolyticus,3.0,3.0,1.0,2.0,2.0,2.0,4.0,4.0,0.0,3.0,1.0,1.0
Acinetobacter indicus,0.0,0.0,3.0,1.0,1.0,6.0,2.0,2.0,5.0,1.0,2.0,4.0
Acinetobacter johnsonii,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0
Acinetobacter junii,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0
Acinetobacter lactucae,2.0,0.0,4.0,2.0,1.0,3.0,1.0,1.0,4.0,2.0,0.0,2.0
Acinetobacter larvae,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
Acinetobacter lwoffii,8.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Acinetobacter nosocomialis,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Acinetobacter piscicola,0.0,4.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
Acinetobacter pittii,4.0,1.0,1.0,0.0,3.0,1.0,5.0,3.0,0.0,0.0,4.0,1.0
